"Python开发工程师(J12915)","北京天融信网络安全技术有限公司","本科","上市公司","1.2-1.8万/月","2年经验",,"5000-10000人","计算机软件","五险一金-补充医疗保险-专业培训-通讯补贴-交通补贴-绩效奖金-弹性工作"
"Python开发工程师","中科创达软件股份有限公司","大专","上市公司","1.2-1.6万/月","3-4年经验",,"10000人以上","通信/电信/网络设备 计算机软件","五险一金-定期体检-餐饮补贴-专业培训-弹性工作"
"Python高级开发工程师","博彦科技股份有限公司","本科","上市公司","2.5-3万/月","5-7年经验",,"10000人以上","计算机软件 互联网/电子商务","五险一金-专业培训-弹性工作-定期体检-年终奖金"
"Python开发工程师","杭州安恒信息技术股份有限公司","本科","上市公司","1.5-2.5万/月","3-4年经验",,"1000-5000人","计算机软件","六险一金-健身房-员工旅游-绩效奖金"
"Python & C++ Developer","瑞银企业管理（中国）有限公司","本科","外资（欧美）","2-2.5万/月","5-7年经验",,"500-1000人","银行 金融/投资/证券","五险一金-年终奖金-出国机会-补充医疗保险"
"Python开发工程师","北京亚鸿世纪科技发展有限公司","本科","民营公司","0.7-1.2万/月","2年经验",,"500-1000人","通信/电信/网络设备 通信/电信运营、增值服务","五险一金-员工旅游-交通补贴-餐饮补贴-通讯补贴-绩效奖金-年终奖金-股票期权-弹性工作-定期体检"
"Python开发工程师","成都迈思信息技术有限公司","本科","民营公司","1-1.5万/月","1年经验",,"150-500人","计算机软件","五险一金-年终奖金-弹性工作"
"后端Python开发工程师","浙江禾川科技股份有限公司","本科","民营公司","1.4-2.2万/月","2年经验",,"500-1000人","仪器仪表/工业自动化",
"Python开发工程师","广东利元亨智能装备股份有限公司","大专","民营公司","0.8-1.6万/月","1年经验",,"5000-10000人","机械/设备/重工","包吃-包住-五险一金-餐饮补贴-绩效奖金-年终奖金-专业培训"
"Python开发工程师","浩鲸云计算科技股份有限公司","本科","合资","1.2-1.6万/月","3-4年经验",,"10000人以上","计算机软件 通信/电信运营、增值服务",
"Python开发工程师","北京南天软件有限公司","本科","上市公司","1.2-2.4万/月","3-4年经验",,"1000-5000人","计算机软件 计算机服务(系统、数据服务、维修)","五险一金-交通补贴-餐饮补贴-通讯补贴-年终奖金-绩效奖金-定期体检-专业培训"
"Python开发工程师","紫光云数科技有限公司","本科","合资","0.6-1.1万/月","2年经验",,"1000-5000人","通信/电信/网络设备 计算机服务(系统、数据服务、维修)","五险一金-交通补贴-餐饮补贴-绩效奖金-年终奖金-定期体检-商业保险-生日礼金-过节费"
"初级python开发工程师","北京昭衍新药研究中心股份有限公司","本科","民营公司","0.8-1万/月","无需经验",,"1000-5000人","制药/生物工程 农/林/牧/渔","五险一金-交通补贴-餐饮补贴-通讯补贴-绩效奖金-年终奖金-定期体检"
"海淀区-Python开发工程师","武汉光庭信息技术股份有限公司","本科","上市公司","1.5-2万/月","2年经验",,"1000-5000人","计算机软件","五险一金-补充医疗保险-年终奖金-定期体检-节日福利"
"python软件开发工程师","湖南大唐先一科技有限公司","本科","国企","1-2万/月","3-4年经验",,"500-1000人","计算机软件 电气/电力/水利","五险一金-补充医疗保险-餐饮补贴-通讯补贴-专业培训-绩效奖金-年终奖金-弹性工作-定期体检"
"高级python开发工程师","北京志翔科技股份有限公司","本科","民营公司","1.5-2.5万/月","3-4年经验",,"150-500人","计算机软件 计算机服务(系统、数据服务、维修)",
"java/Python软件工程师","四川长虹网络科技有限责任公司","本科","国企","0.7-1.2万/月","2年经验",,"500-1000人","互联网/电子商务","五险一金-补充医疗保险-员工旅游-专业培训-绩效奖金-年终奖金-定期体检-弹性工作-餐饮补贴-交通补贴"
"Python工程师","重庆傲雄在线信息技术有限公司","大专","民营公司","1-1.5万/月","1年经验",,"150-500人","计算机软件 计算机服务(系统、数据服务、维修)","餐饮补贴-年终奖金-周末双休-五险一金-做五休二-节日福利"
"Python开发工程师(J13291)","福建博思软件股份有限公司","本科","民营公司","1.5-2.5万/月","2年经验",,"1000-5000人","计算机软件","五险一金-补充公积金-员工旅游-交通补贴-餐饮补贴-通讯补贴-年终奖金-定期体检"
"Python开发工程师","思佰益必智信息技术（大连）有限公司","本科","外资（非欧美）","1-1.5万/月","5-7年经验",,"150-500人","计算机软件 计算机服务(系统、数据服务、维修)",
"Python开发工程师","鼎桥通信技术有限公司","本科","合资","1.5-3万/月","3-4年经验",,"1000-5000人","通信/电信/网络设备","五险一金-弹性工作-补充医疗保险-定期体检-补充公积金-专业培训-员工旅游-绩效奖金-年终奖金-股票期权"
"Python开发工程师","湖南湘邮科技股份有限公司","本科","上市公司","0.8-1.2万/月","3-4年经验",,"500-1000人","计算机服务(系统、数据服务、维修) 计算机软件","五险一金-补充医疗保险-餐饮补贴-通讯补贴-专业培训-定期体检-交通补贴"
"Python工程师","博彦科技（深圳）有限公司","本科","上市公司","1.5-2万/月","3-4年经验",,"10000人以上","计算机软件","五险一金-员工旅游-交通补贴-餐饮补贴-绩效奖金-13薪"
"Python高级开发工程师","上海恒生聚源数据服务有限公司","本科","民营公司","1.5-3万/月","3-4年经验",,"500-1000人","金融/投资/证券 计算机服务(系统、数据服务、维修)","五险一金-员工旅游-定期体检-股票期权-年终奖金-餐饮补贴"
"Python开发工程师","诚迈科技（南京）股份有限公司","本科","外资（欧美）",,"1年经验",,"1000-5000人","计算机软件",
"python","北京信安世纪科技股份有限公司","本科","上市公司","1.5-3万/月","无需经验",,"500-1000人","计算机软件","五险一金-餐饮补贴-带薪年假-通讯补贴-周末双休-节日福利-专业培训-补充医疗保险-定期体检"
"Python图像开发工程师","南京畅淼科技有限责任公司","本科","民营公司","1-1.5万/月","1年经验",,"少于50人","计算机软件","五险一金-员工旅游-绩效奖金-定期体检-餐饮补贴-年终奖金"
"Python开发工程师","广州启宏文化发展有限公司","大专","民营公司","5-7千/月","1年经验",,"影视/媒体/艺术/文化传播",,"带薪年假-五险一金-绩效奖金-全勤奖-节日福利"
"Python开发工程师","江苏硕科信息技术有限公司","本科","创业公司","6-9千/月","1年经验",,"少于50人","计算机软件","五险一金-员工旅游-餐饮补贴-专业培训-绩效奖金-年终奖金-股票期权-弹性工作"
"Python爬虫开发工程师","广州铂锐盛途科技有限公司","大专","民营公司","1.3-2万/月","3-4年经验",,"少于50人","网络游戏 互联网/电子商务","五险一金-员工旅游-交通补贴-餐饮补贴-绩效奖金-周末双休-办公环境好"
"Python开发工程师","浙江大冲能源科技有限公司","大专","民营公司","0.6-1.2万/月","1年经验",,"50-150人","新能源 仪器仪表/工业自动化","五险一金-员工旅游-专业培训-绩效奖金-年终奖金-定期体检"
"Python爬虫工程师","昆山创酷信息科技有限公司","大专","民营公司","1.5-2万/月","3-4年经验",,"150-500人","计算机软件 计算机服务(系统、数据服务、维修)","交通补贴-餐饮补贴-通讯补贴-专业培训-绩效奖金-年终奖金-弹性工作"
"年薪25万Python开发工程师","蓝熙集团","本科","民营公司","20-30万/年","3-4年经验",,"500-1000人","互联网/电子商务","弹性工作-带薪年假-五险一金-绩效奖金-节日福利-专业培训-交通补贴-全勤奖"
"年薪25万Python工程师","道格集团","本科","民营公司","20-30万/年","3-4年经验",,"150-500人","互联网/电子商务 计算机软件","弹性工作-带薪年假-五险一金-绩效奖金-全勤奖-节日福利-交通补贴-高提成-加班补贴"
"Python开发工程师","汉堂软件工程（上海）有限公司","大专","民营公司","1-1.5万/月","2年经验",,"500-1000人","计算机服务(系统、数据服务、维修) 计算机软件","五险一金-周末双休-弹性工作-免费班车-年终奖金-绩效奖金"
"Python开发工程师","四川创优生涯人才服务有限公司","本科","民营公司","1.5-2万/月","3-4年经验",,"专业服务(咨询、人力资源、财会)",,"绩效奖金-节日福利-专业培训-年终奖金-带薪年假-全勤奖-五险一金-交通补贴-周末双休-加班补贴"
